cycle,rank,feature,cycle_firing_frequency,global_firing_frequency,specificity,cycle_mean_activation
6,11,350,0.1551953125,0.1448779296875,0.010317382812499998,0.03660219021141529
6,12,303,0.130234375,0.120518798828125,0.009715576171875018,0.025530889853835104
6,13,1083,0.1331640625,0.123475341796875,0.009688720703125014,0.023541925381869076
6,14,509,0.09380859375,0.084146728515625,0.009661865234374997,0.021700987461954355
6,15,1068,0.1925,0.1829296875,0.009570312500000011,0.041039167270064354
6,16,799,0.086328125,0.0770458984375,0.00928222656250001,0.022183862701058387
6,17,1839,0.13072265625,0.121485595703125,0.009237060546875009,0.038221416175365446
6,18,1740,0.17109375,0.16189697265625,0.00919677734374999,0.03403974913060665
6,19,3,0.12755859375,0.118597412109375,0.00896118164062501,0.025475663524121048
6,20,304,0.12740234375,0.1187744140625,0.008627929687500008,0.03619108823593706
6,21,200,0.1073828125,0.09899658203125,0.008386230468749992,0.03651261240243912
6,22,346,0.0923046875,0.083948974609375,0.008355712890624992,0.01968728341162205
6,23,971,0.1709375,0.1626318359375,0.008305664062499996,0.033103225342929365
6,24,453,0.1683984375,0.160213623046875,0.008184814453124994,0.029985068645328284
6,25,1503,0.12251953125,0.11441162109375,0.008107910156249995,0.033508511534892024
6,26,1296,0.09267578125,0.084615478515625,0.00806030273437501,0.0271415881998837
6,27,1219,0.085703125,0.077938232421875,0.007764892578125002,0.04578342024236917
6,28,1861,0.123046875,0.1152978515625,0.007749023437500002,0.024075162466615438
6,29,1245,0.1201171875,0.1124169921875,0.007700195312500005,0.024203866235911847
6,30,908,0.12173828125,0.114134521484375,0.0076037597656249956,0.023043827693909405
6,31,21,0.08060546875,0.073011474609375,0.0075939941406250044,0.01838265048339963
6,32,29,0.1291015625,0.121600341796875,0.007501220703124992,0.023872997872531415
6,33,267,0.18705078125,0.1796484375,0.0074023437499999845,0.039975914955139163
6,34,1998,0.1256640625,0.11849853515625,0.0071655273437500056,0.028323991242796182
6,35,1164,0.12900390625,0.12184814453125,0.0071557617187500006,0.01982977505773306
6,36,1552,0.08279296875,0.0756591796875,0.007133789062500007,0.02598632948473096
